CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
10217.0,34,2,3227.55,5,5,5,555,Champions
12351.0,126,2,3161.3399999999997,5,5,5,555,Champions
18039.0,13,2,2153.2599999999998,5,5,5,555,Champions
25839.0,90,2,6014.74,5,5,5,555,Champions
26171.0,51,2,750.97,5,5,5,555,Champions
28424.0,43,2,782.93,5,5,5,555,Champions
29333.0,105,2,3996.39,5,5,5,555,Champions
41517.0,22,2,754.25,5,5,5,555,Champions
48023.0,120,2,987.4100000000001,5,5,5,555,Champions
52231.0,92,2,13875.12,5,5,5,555,Champions
54174.0,26,2,4016.26,5,5,5,555,Champions
55900.0,116,2,762.12,5,5,5,555,Champions
56995.0,83,2,1306.51,5,5,5,555,Champions
57820.0,96,2,1078.23,5,5,5,555,Champions
59996.0,105,2,3192.36,5,5,5,555,Champions
62566.0,38,2,775.95,5,5,5,555,Champions
63635.0,50,2,7081.66,5,5,5,555,Champions
65462.0,69,2,2772.7200000000003,5,5,5,555,Champions
65857.0,38,2,1164.87,5,5,5,555,Champions
71277.0,41,2,945.99,5,5,5,555,Champions
73125.0,101,3,2496.63,5,5,5,555,Champions
75808.0,2,2,1303.85,5,5,5,555,Champions
76037.0,71,2,5020.259999999999,5,5,5,555,Champions
80858.0,80,2,765.91,5,5,5,555,Champions
84399.0,97,1,1166.11,5,5,5,555,Champions
85434.0,89,1,778.8,5,5,5,555,Champions
85447.0,51,2,1060.97,5,5,5,555,Champions
86183.0,77,1,2598.54,5,5,5,555,Champions
86556.0,97,1,831.11,5,5,5,555,Champions
86565.0,29,1,9804.78,5,5,5,555,Champions
86866.0,102,1,1344.75,5,5,5,555,Champions
86898.0,47,1,14714.350000000002,5,5,5,555,Champions
87670.0,53,1,747.5300000000001,5,5,5,555,Champions
88202.0,63,1,7759.92,5,5,5,555,Champions
88684.0,11,1,767.6999999999999,5,5,5,555,Champions
88711.0,125,1,762.8499999999999,5,5,5,555,Champions
89168.0,15,2,1366.4099999999999,5,5,5,555,Champions
89383.0,138,1,1034.67,5,5,5,555,Champions
89884.0,121,1,1383.18,5,5,5,555,Champions
90211.0,4,1,2629.22,5,5,5,555,Champions
90849.0,33,1,4578.1,5,5,5,555,Champions
90904.0,26,1,878.9200000000001,5,5,5,555,Champions
92278.0,73,1,1036.05,5,5,5,555,Champions
92409.0,102,1,2366.24,5,5,5,555,Champions
93284.0,4,1,4601.44,5,5,5,555,Champions
93391.0,108,2,1056.88,5,5,5,555,Champions
93464.0,68,1,1025.88,5,5,5,555,Champions
93582.0,26,1,859.04,5,5,5,555,Champions
93678.0,61,1,13527.18,5,5,5,555,Champions
93858.0,22,1,775.88,5,5,5,555,Champions
94023.0,37,1,8787.900000000001,5,5,5,555,Champions
94357.0,51,1,863.4000000000001,5,5,5,555,Champions
94557.0,34,1,3376.8,5,5,5,555,Champions
95388.0,121,2,6925.5599999999995,5,5,5,555,Champions
95725.0,95,1,1544.62,5,5,5,555,Champions
96537.0,106,2,793.96,5,5,5,555,Champions
96862.0,42,1,2852.82,5,5,5,555,Champions
97168.0,3,1,893.06,5,5,5,555,Champions
97276.0,137,2,6329.08,5,5,5,555,Champions
97506.0,9,1,981.75,5,5,5,555,Champions
